Select Printer,Printer Requested,Material 1 Qty,User Type,Material 1,Printed On,Print Time (Hours),Material_Category1
43,0,4.0,2,8,0,2,3
29,0,13.0,2,8,0,1,3
34,0,10.77,1,8,0,1,3
33,4,1.6,2,27,4,3,0
27,0,0.0,2,8,0,6,3
21,0,55.24,1,8,0,5,3
11,1,21.58,1,15,1,3,0
12,1,124.0,2,14,1,2,4
25,0,0.0,2,8,0,3,3
26,0,10.77,1,8,0,1,3
21,0,8.33,1,8,0,1,3
27,0,8.15,2,8,0,1,3
29,0,1.3,2,8,0,1,3
21,0,8.33,1,8,0,1,3
9,1,2.9,2,18,1,1,0
12,1,58.59,2,24,1,1,4
6,1,31.4,1,12,1,7,0
23,0,6.71,2,8,0,1,3
27,0,69.06,2,8,0,3,3
34,0,0.0,2,8,0,5,3
29,0,46.0,1,8,0,1,3
34,0,0.0,2,8,0,1,3
25,0,93.48,1,8,0,3,3
24,0,80.54,1,8,0,8,3
33,4,22.0,2,28,4,40,0
33,4,24.0,2,28,4,38,0
33,4,24.0,2,28,4,38,0
32,4,22.0,2,28,4,40,0
31,0,60.0,1,9,0,6,3
34,0,727.0,2,8,0,11,3
0,0,62.56,2,8,0,2,3
21,0,19.99,1,8,0,3,3
24,0,552.45,2,8,0,10,3
25,0,20.0,2,8,0,1,3
29,0,148.09,2,8,0,4,3
28,0,167.0,2,8,0,4,3
25,0,62.0,2,8,0,2,3
43,0,167.0,2,8,0,4,3
15,1,46.0,2,21,1,2,4
6,1,1.3,1,12,1,5,0
12,1,83.74,1,24,1,2,4
12,1,100.0,2,24,1,2,4
10,1,82.12,0,19,1,16,0
29,0,36.0,2,4,0,1,0
23,0,45.35,2,8,0,2,3
15,1,152.0,2,20,1,5,4
20,0,88.0,2,8,0,16,3
26,0,12.19,1,8,0,1,3
